stop_id;stop_code;stop_name;stop_desc;stop_lat;stop_lon;location_type;
292235;100001;RIFAT ILGAZ CADDESİ;direction: AVCILAR;410.191.700.005.564;286.843.529.999.755;0;
292236;100002;RIFAT ILGAZ CADDESİ;direction: BOĞAZKÖY;410.190.470.005.563;286.846.599.999.755;0;
292237;100011;UZUNYAYLA;direction: AVCILAR;410.104.540.005.549;286.886.289.999.758;0;
292238;100012;UZUNYAYLA;direction: BOĞAZKÖY;41.010.675.000.555;286.887.509.999.759;0;
292240;100022;OKTAY RIFAT CADDESİ;direction: BOĞAZKÖY;41.004.605.000.554;286.952.349.999.764;0;
5251770;100031;SEBAHATTİN ZAİM İLKOKULU;direction: AVCILAR METROBÜS;41.00506785536913:17 17.03.20268;286.975.877.961.211;0;
292242;100032;SEBAHATTİN ZAİM İLKOKULU;direction: BOĞAZKÖY;41.004.503.000.554;286.991.239.999.767;0;
509457;100071;YEŞİLTEPE;direction: AVCILAR;410.361.650.005.591;287.039.479.999.769;0;
509458;100072;YEŞİLTEPE;direction: FIRUZKÖY;410.360.930.005.591;287.038.819.999.769;0;
290916;100081;19 MAYIS CADDESİ;direction: AVCILAR;409.938.510.005.522;286.723.869.999.746;0;
290917;100082;19 MAYIS CADDESİ;direction: İ.MARMARA EVLERİ;409.936.940.005.522;286.722.419.999.746;0;
290918;100091;AKASYA ;direction: AVCILAR;409.864.660.005.511;286.759.869.999.749;0;
290919;100092;AKASYA ;direction: İ.MARMARA EVLERİ;409.863.910.005.511;286.758.629.999.749;0;
290920;100101;GÜZELYAYLA;direction: AVCILAR;409.872.340.005.512;286.802.479.999.753;0;
290921;100102;GÜZELYAYLA;direction: İ.MARMARA EVLERİ;409.871.480.005.512;286.801.259.999.753;0;
290922;100111;BARBAROS CADDESİ ;direction: AVCILAR;409.833.240.005.506;286.812.219.999.754;0;
290923;100112;BARBAROS CADDESİ;direction: İ.MARMARA EVLERİ;40.985.969.000.551;286.809.359.999.753;0;
290924;100121;BEYLİKDÜZÜ AĞIZ VE DİŞ SAĞLIĞI MERKEZİ;direction: AVCILAR;409.837.090.005.507;286.779.579.999.751;0;
290908;100122;BEYLİKDÜZÜ AĞIZ VE DİŞ SAĞLIĞI MERKEZİ;direction: İ.MARMARA EVLERİ;409.838.790.005.498;286.775.169.999.739;0;
290925;100131;GÜZELBAHÇE ;direction: AVCILAR;409.841.861.496.593;28.674.672.593.647;0;
290926;100141;YEŞİL AKASYA;direction: AVCILAR;409.768.340.005.495;286.595.599.999.736;0;
290927;100142;YEŞİL AKASYA;direction: İ.MARMARA EVLERİ;409.766.040.005.495;286.591.909.999.735;0;
290928;100151;MENEKŞE;direction: AVCILAR;409.783.130.005.497;286.599.319.999.736;0;
909480;100152;MENEKŞE;direction: İ.MARMARA EVLERİ;409.788.719.643.125;286.599.890.373.434;0;
290297;100161;MUSTAFA KEMALPAŞA CADDESİ;direction: Y.B.METRO;410.349.970.005.582;285.018.769.999.542;0;
290298;100162;MUSTAFA KEMALPAŞA CADDESİ;direction: TEPEKENT;410.349.290.005.581;285.019.969.999.542;0;
290299;100171;TATLICI CADDESİ;direction: Y.BOSNA METRO;41.040.152.000.559;285.057.469.999.548;0;
290300;100172;TATLICI CADDESİ;direction: TEPEKENT;41.040.074.000.559;285.058.759.999.548;0;
290301;100181;BARIŞ CADDESİ;direction: Y.B.METRO;410.438.700.005.596;285.086.859.999.552;0;
290302;100182;BARIŞ CADDESİ;direction: TEPEKENT;410.437.160.005.596;285.087.529.999.553;0;
290303;100191;ZEKİ BORA CADDESİ;direction: Y.BOSNA;41.052.527.000.561;285.113.839.999.556;0;
290304;100192;ZEKİ BORA CADDESİ;direction: SON DURAK;410.526.590.005.611;285.114.959.999.556;0;
290305;100201;ÖZGÜRLÜK CADDESİ;direction: Y.B.METRO;410.508.470.005.607;28.507.637.999.955;0;
290306;100202;ÖZGÜRLÜK CADDESİ;direction: TEPEKENT;410.509.000.005.608;28.507.464.999.955;0;
290307;100211;CUMHURİYET CADDESİ;direction: Y.B.METRO;410.555.060.005.615;284.918.259.999.524;0;
290308;100212;CUMHURİYET CADDESİ;direction: TEPEKENT;410.556.270.005.614;284.917.189.999.524;0;
290309;100221;AREL ÜNİVERSİTESİ;direction: Y.B.METRO;410.553.060.005.614;284.995.779.999.537;0;
290310;100222;AREL ÜNİVERSİTESİ;direction: TEPEKENT;410.553.820.005.615;284.996.119.999.537;0;
509459;100231;ŞEHİT TAHSİN GEREKLİ;direction: TAKSİM;410.641.270.005.636;287.143.569.999.776;0;
509460;100232;ŞEHİT TAHSİN GEREKLİ;direction: BOGAZKÖY;410.640.100.019.915;287.148.149.613.035;0;
509461;100241;ISPARTAKULE BLOKLARI;direction: TAKSİM;410.642.040.005.636;287.116.229.999.774;0;
509462;100242;ISPARTAKULE BLOKLARI;direction: BOĞAZKÖY;410.643.620.005.636;287.116.149.999.774;0;
509463;100251;AKPINAR SOKAK;direction: ŞAHİNTEPESİ;410.684.140.005.643;287.252.149.999.783;0;
509464;100252;AKPINAR SOKAK;direction: AVCILAR;410.684.180.005.643;287.250.979.999.783;0;
5249742;100261;AKINCILAR MAHALLESİ;direction: EMİNÖNÜ;410.160.499.991.152;288.738.800.000.064;0;
290930;100271;İSTANBUL CADDESİ ;direction: AVCILAR METROBÜS;409.960.580.005.524;286.188.439.999.696;0;
290931;100272;İSTANBUL CADDESİ;direction: SON DURAK 400A;409.961.030.005.524;286.186.149.999.696;0;
290932;100281;EKŞİOĞLU KONUTLARI;direction: Y.B.METRO;409.972.140.005.527;286.203.659.999.698;0;
290933;100282;EKŞİOĞLU KONUTLARI;direction: YEŞİLKENT;409.973.510.005.527;286.201.749.999.698;0;
290934;100291;ANADOLU CADDESİ ;direction: Y.B.METRO;410.028.500.005.536;286.260.329.999.703;0;
290935;100292;ANADOLU CADDESİ ;direction: YEŞİLKENT;410.025.250.005.535;286.256.679.999.703;0;
290936;100301;KUŞDİLİ CADDESİ;direction: Y.B.METRO;410.043.850.005.538;286.285.439.999.706;0;
290937;100302;KUŞDİLİ CADDESİ;direction: YEŞİLKENT;410.045.980.005.538;286.283.499.999.706;0;
290938;100311;ECZANE;direction: Y.B.METRO;41.005.848.000.554;286.291.489.999.706;0;
290939;100312;ECZANE;direction: YEŞİLKENT;410.058.400.005.541;286.288.959.999.706;0;
290940;100321;OSMANLI CADDESİ ;direction: Y.B.METRO;410.076.670.005.543;286.291.649.999.706;0;
290941;100322;OSMANLI CADDESİ;direction: YEŞİLKENT;410.076.659.991.162;286.289.710.000.023;0;
290942;100332;GÜZELBAHÇE;direction: YEŞİLKENT;410.080.050.005.544;286.264.429.999.704;0;
284596;100341;MEHMET AKİF ERSOY CADDESİ;direction: BÜYÜKÇEKMECE;410.660.280.005.618;283.106.969.999.092;0;
284506;100342;MEHMET AKİF ERSOY CADDESİ;direction: SİLİVRİ;410.664.823.891.134;283.103.329.699.542;0;
290311;100351;BASINKENT;direction: BÜYÜKÇEKMECE;410.481.820.005.597;283.979.689.999.336;0;
290312;100352;BASINKENT;direction: SİLİVRİ;410.484.820.005.597;283.980.979.999.336;0;
290313;100361;GÖKKUŞAĞI;direction: BÜYÜKÇEKMECE;410.198.970.005.557;284.792.279.999.505;0;
290314;100371;MEVLANA CADDESİ;direction: Y.BOSNA METRO;410.136.450.197.904;284.931.960.161.022;0;
290315;100372;MEVLANA CADDESİ;direction: SİLİVRİ;410.138.670.005.548;284.933.649.999.529;0;
290316;100381;BAHÇELİEVLER MAHALLESİ;direction: Y.BOSNA METRO;410.116.940.005.544;284.974.129.999.536;0;
290317;100382;BAHÇELİEVLER MAHALLESİ;direction: SİLİVRİ;410.098.450.005.542;285.022.669.999.544;0;
290318;100391;ANITPARK;direction: Y.BOSNA METRO;410.215.780.005.564;28.586.496.999.966;0;
290288;100401;ATATÜRK MAHALLESİ;direction: ALBATROS;410.157.162.820.871;285.952.376.505.098;0;
508612;100411;SANAYİ TİCARET MÜDÜRLÜĞÜ;direction: Y.B.METRO;410.817.340.005.666;287.945.609.999.823;0;
508613;100412;SANAYİ TİCARET MÜDÜRLÜĞÜ;direction: BAŞAKŞEHİR;410.814.540.005.665;287.947.609.999.823;0;
510975;100421;TÜRK-İSVEÇ KARDEŞLİK İLKOKULU;direction: EMİNÖNÜ;41.045.876.000.561;288.676.339.999.856;0;
510976;100422;TÜRK-İSVEÇ KARDEŞLİK İLKOKULU;direction: GİYİMKENT;41.045.971.000.561;288.678.079.999.856;0;
508614;100431;KAYABAŞI KİPTAŞ;direction: SON DURAK 79E A.KÖY;410.932.720.005.683;28.738.200.999.979;0;
508615;100432;KAYABAŞI KİPTAŞ;direction: ALTINŞEHİR;410.939.610.005.684;287.391.539.999.791;0;
508616;100441;GÜVERCİNTEPE SAPAĞI;direction: Y.B.METRO;410.876.679.991.148;28.742.089.000.008;0;
508617;100442;GÜVERCİNTEPE SAPAĞI;direction: ARNAVUTKOY;410.876.569.991.147;287.422.580.000.081;0;
508618;100451;ŞEHİT ERKAN GÖKTAŞ CADDESİ;direction: YENİBOSNA METRO;410.647.620.005.637;287.467.729.999.797;0;
508619;100452;ŞEHİT ERKAN GÖKTAŞ CADDESİ;direction: ARNAVUTKÖY;410.650.900.005.636;287.467.339.999.793;0;
509466;100472;BİZİMEVLER KÖPRÜ;direction: ESENKENT;41.060.028.000.563;287.034.489.999.768;0;
290943;100491;YAKUPLU KAVŞAK;direction: BAKIRKÖY;409.896.200.005.516;286.681.909.999.743;0;
290944;100501;IHLAMUR SOKAK;direction: BAKIRKÖY;409.899.210.005.516;286.707.299.999.745;0;
290945;100502;IHLAMUR SOKAK;direction: MARMARA EVLERİ;409.901.380.005.517;286.706.089.999.745;0;
509469;100511;BAĞLARİÇİ CADDESİ;direction: AVCILAR METROBÜS;410.034.007.314.469;287.137.335.695.669;0;
509470;100512;BAĞLARİÇİ CADDESİ;direction: ESENYURT;41.003.730.000.554;287.138.379.999.777;0;
509471;100521;BAĞLAR İÇİ;direction: AVCILAR METROBÜS;409.958.690.005.527;287.180.579.999.781;0;
509472;100522;BAĞLAR İÇİ;direction: ESENYURT;409.957.940.005.527;287.183.559.999.781;0;
290946;100531;ÇINAR EVLERİ;direction: AVCILAR METROBUS;409.787.530.005.498;286.569.859.999.733;0;
290947;100532;ÇINAR EVLERİ;direction: İHLAS MARMARA;409.789.350.005.499;286.571.759.999.734;0;
290948;100541;MARMARA KAVAKLIKENT SİTESİ;direction: AVCILAR METROBUS;409.758.550.005.493;286.573.449.999.734;0;
290949;100542;MARMARA KAVAKLIKENT SİTESİ;direction: KAVAKLI;409.760.620.005.493;286.574.129.999.734;0;
509473;100551;OKUL CADDESİ;direction: AVCILAR;410.068.520.005.544;287.109.489.999.775;0;
509474;100552;OKUL CADDESİ;direction: YEŞİLKENT;410.069.569.991.164;287.110.270.000.068;0;
292243;100561;DEMİRÇEKME;direction: MECİDİYEKÖY;410.728.010.005.648;286.221.609.999.697;0;
292244;100562;DEMİRÇEKME;direction: BÜYÜKÇEKMECE;410.730.400.005.648;286.226.569.999.697;0;
290951;100581;TURGUT ÖZAL CADDESİ;direction: SAHİL MAHALLESİ;409.749.687.541.545;286.379.450.748.681;0;
5250349;100582;TURGUT ÖZAL CADDESİ;direction: KAVAKLI;409.750.232.404.342;286.380.198.414.299;0;
290952;100591;MARMARA CADDESİ;direction: SAHİL MAHALLESİ;409.706.760.517.153;286.383.040.422.785;0;
5250348;100592;MARMARA CADDESİ;direction: KAVAKLI;409.707.685.137.959;286.384.696.686.707;0;
290953;100601;SAHİL YOLU;direction: KAVAKLI;409.678.597.444.759;286.393.402.157.017;0;
5250347;100602;SAHİL YOLU;direction: SAHİL MAHALLESİ;409.677.674.041.031;286.390.639.481.588;0;
290954;100611;BİLALİ HABEŞİ CAMİİ;direction: KAVAKLI;40.967.524.036.352;28.642.403.981.699;0;
5251970;100612;BİLALİ HABEŞİ CAMİ;direction: SONDURAK;409.675.909.855.342;286.427.604.859.351;0;
290321;100641;TEPEKENT SONDURAK;direction: SONDURAK;410.557.770.005.615;284.860.689.999.514;0;
290323;100651;AĞAÇ SARAY EVLERİ;direction: AVCILAR;410.569.280.005.622;286.259.989.999.701;0;
292245;100652;AĞAÇ SARAY EVLERİ;direction: BEYLİKDÜZÜ;410.569.030.005.622;286.264.299.999.701;0;
578969;100661;İSTOÇ 25.-26.ADA;direction: BAKIRKÖY;410.679.350.005.644;288.225.169.999.837;0;
290324;100671;TEPECİK KİPTAŞ BLOKLARI;direction: Y.BOSNA METRO;410.247.870.005.566;285.159.819.999.565;0;
290325;100672;TEPECİK KİPTAŞ BLOKLARI;direction: TEPEKENT;410.249.960.005.567;285.158.449.999.565;0;
290326;100681;TEPECİK CADDESİ;direction: Y.BOSNA METRO;410.498.390.005.606;285.141.259.999.561;0;
290327;100682;TEPECİK CADDESİ;direction: TEPEKENT;410.497.920.005.606;285.142.589.999.561;0;
284383;100691;YALIKÖY İLKOKULU;direction: Y.BOSNA METRO;414.757.920.006.287;282.970.189.999.018;0;
284384;100692;YALIKÖY İLKOKULU;direction: YALIKÖY;41.475.868.995.379;282.971.269.806.091;0;
290959;100701;BAKİ GÜNDÜZ İLKOKULU;direction: Y.BOSNA METRO;409.793.040.005.497;286.091.479.999.687;0;
290960;100702;BAKİ GÜNDÜZ İLKOKULU;direction: GÜRPINAR;409.794.510.005.498;286.089.889.999.687;0;
290961;100711;GÜRPINAR MEZARLIĞI;direction: Y.BOSNA METRO;409.896.770.005.514;286.180.119.999.696;0;
290962;100712;GÜRPINAR MEZARLIĞI;direction: GÜRPINAR;409.896.710.005.514;286.195.569.999.698;0;
284529;100721;MARMARA CEZAEVİ;direction: OTOGAR;410.941.730.005.644;28.153.427.999.842;0;
284528;100731;CEZAEVİ LOJMANLARI;direction: OTOGAR;410.959.360.005.647;281.561.319.998.434;0;
284530;100732;CEZAEVİ LOJMANLARI;direction: CEZAEVİ;410.960.789.581.073;281.561.299.782.035;0;
284573;100741;KINALI ÜST GEÇİT;direction: OTOGAR;41.070.681.015.305;281.133.769.877.074;0;
284531;100742;KINALI ÜST GEÇİT;direction: CEZAEVİ;410.709.550.065.276;281.131.650.125.437;0;
284571;100751;KINALITEPE SİTESİ;direction: OTOGAR;410.630.190.005.584;280.955.899.998.077;0;
284551;100752;KINALITEPE SİTESİ;direction: GÜMÜŞYAKA;410.635.989.997.446;28.094.870.955.523;0;
284572;100761;GÜMÜŞ KUMSAL;direction: OTOGAR;410.661.370.005.591;281.021.409.998.119;0;
5252450;100762;GÜMÜŞ KUMSAL;direction: GÜMÜŞYAKA;410.661.718.394.149;281.012.672.107.294;0;
